"Company Name","Website","Phone","Email","Address","Category","Website Status","Lead Score","Qualification Level","SSL Status","Source","Rating","Created At","Searched Keyword","Searched Location"
"Martino'z Pizza Prahlad Nagar","https://www.martinozpizza.com","06262737318","","
Shop no. 3, Venus Atlantis Corporate Park, 100 Feet Anand Nagar Rd, nr. Shell Pump, Satellite, Ahmedabad, Gujarat 380015","Pizza restaurant","unknown","85","","","google-maps","4.8","2026-06-11T11:04:35.857Z","Restaurant","Prahlad Nagar"
"Sizzling Parathaz","https://www.instagram.com/sizzling_parathaz","09106438470","","
Shop No-8, Nilkanth Palace-A, opp. Seema Hall, Prahlad Nagar, Ahmedabad, Gujarat 380015","North Indian restaurant","unknown","85","","","google-maps","4.9","2026-06-11T11:04:41.907Z","Restaurant","Prahlad Nagar"
"Table Tales - Prahladnagar","https://www.mytabletales.com","09978778774","","
105, 1st Floor, Ratnanjali Solitaire, 104, Prernatirth Derasar Rd, nr. STYLE UP, Prahlad Nagar, Ahmedabad, Gujarat 380015","Restaurant","unknown","85","","","google-maps","4.5","2026-06-11T11:04:46.536Z","Restaurant","Prahlad Nagar"
"Steel Lifestyle","https://www.steellifestyle.in","07926924883","","
Steel House, Aashirvad Appt, Satellite Rd, opp. Star Bazaar, near Sundarvan, Satellite, Ahmedabad, Gujarat 380015","Clothing store","unknown","85","","","google-maps","4.8","2026-06-11T11:07:33.212Z","Cloth","Satellite"
"Fashion Factory","https://location.reliancefashionfactorystores.com/fashion-factory-ff-ahmd-city-gold-clothing-stores-satellite-ahmedabad-286923/home?utm_source=locator&utm_medium=googleplaces","18008910001","","
Citi Gold Mall, 132 Feet Ring Rd, near Shyamal Cross Road, Satellite, Shyamal, Ahmedabad, Gujarat 380015","Clothing store","unknown","85","","","google-maps","4.6","2026-06-11T11:07:38.503Z","Cloth","Satellite"
"Khatri jaybhai bandhaniwala","https://khatrijaybhaibandhaniwala.in","07567850077","","
B/ 119 silicon valley Nr. Shefali row house, Shivranjani Cross Rd, Ahmedabad, Gujarat 380015","Clothing store","unknown","85","","","google-maps","4.5","2026-06-11T11:07:43.466Z","Cloth","Satellite"
"Radiant","https://instagram.com/radiantahmedabad?igshid=ndk5n2nlzjq=","09427045590","","
116, Cross Road Siddhi Vinayak Complex, Shivranjani Flyover, Bimanagar, Satellite, Ahmedabad, Gujarat 380015","Clothing store","unknown","85","","","google-maps","4.7","2026-06-11T11:07:47.875Z","Cloth","Satellite"
"The Arvind Store (Ratnam)","https://ratnamclothing.com","09825978478","","
118, Silicon Valley, Shivranjani Cross Rd, Satellite, Ahmedabad, Gujarat 380015","Men's clothing store","unknown","85","","","google-maps","4.5","2026-06-11T11:07:56.925Z","Cloth","Satellite"
"Manyavar","https://stores.manyavar.com/manyavar-mens-clothing-satellite-ahmedabad-126903/home?utm_source=locator&utm_medium=googleplaces","08037002289","","
Unit No 1 & 2, Ratnaakar Nine Square, opposite Itc Narmada, Suryapooja Block B, Satellite, Ahmedabad, Gujarat 380015","Men's clothing store","unknown","85","","","google-maps","4.8","2026-06-11T11:08:01.138Z","Cloth","Satellite"
"Tarsi Satellite","http://www.tarsiwear.com","08619923112","","
4, Akruti Complex, Opp Planet Health Near Trupti Bakery, Between Jodhpur Cross Road, to, Jodhpur Gam Rd, Satellite, Ahmedabad, Gujarat 380015","Clothing supplier","unknown","85","","","google-maps","4.7","2026-06-11T11:08:05.336Z","Cloth","Satellite"
"H&M","https://www2.hm.com/en_in/customer-service/shopping-at-hm/store-locator/india/ahmedabad/iscon-emporio/in0054.html?utm_source=google_location&utm_medium=organic&utm_content=in0054&utm_campaign=pi_inq00aau0aa004","18008898000","","
6, Jodhpur Cross Rd, Satellite, Ahmedabad, Gujarat 380015","Clothing store","unknown","80","","","google-maps","4.1","2026-06-11T11:08:09.707Z","Cloth","Satellite"
"Jio Fashion Factory","https://location.reliancefashionfactorystores.com/location/gujarat/ahmedabad","18008910001","","
City Gold Mall, 132 Feet Ring Rd, near Shyamal Cross Road, Satellite, Ahmedabad, Gujarat 380015","Clothing store","unknown","80","","","google-maps","4.1","2026-06-11T11:08:14.830Z","Cloth","Satellite"
"Aangan of kutch handicrafts Ahmedabad","https://aanganofkutch.com","07069391254","","
109, Silicon Valley, Shivranjani Cross Rd, opp. Tanishque jewellers, Suryapooja Block B, Satellite, Ahmedabad, Gujarat 380015","Women's clothing store","unknown","85","","","google-maps","4.5","2026-06-11T11:08:19.930Z","Cloth","Satellite"
"Status, Satellite","https://www.google.co.in/intl/en/about/products?tab=lh","08141724742","","
GJ SH 36, Barwala, Gujarat 382450","
Add website","unknown","75","","","google-maps","3.4","2026-06-11T11:08:25.677Z","Hotel","Barwala"
"GLORY (kids& women's)","http://gloryfashion.in","07768961500","","
Shop No.07, Iscon Emporio, Jodhpur Char Rasta, near Star Bazaar, Satellite, Ahmedabad, Gujarat 380015","Clothing store","unknown","85","","","google-maps","4.8","2026-06-11T11:08:30.060Z","Cloth","Satellite"
"Zebein","https://zebeinindia.com","","","
Store No. 9, Iscon Emporio, Jodhpur Cross Rd, near Star Bazaar, Satellite, Ahmedabad, Gujarat 380015","Clothing store","unknown","70","","","google-maps","4.6","2026-06-11T11:08:34.992Z","Cloth","Satellite"
"Funky western","https://www.instagram.com/funky_western?igsh=chhienlxdzm0ewdx&utm_source=qr","09106439740","","
Mansi Cross Rd, Satellite, Ahmedabad, Gujarat 380015","Women's clothing store","unknown","85","","","google-maps","4.8","2026-06-11T11:08:39.379Z","Cloth","Satellite"
"Clothes Code","http://www.instagram.com/clothescode1","07043336993","","
110 Akshar Complex 1st floor Near Shivranjani cross roads Between Shivranjani cross roads, &, Jodhpur Cross Rd, Satellite, Ahmedabad, Gujarat 380015","Clothing store","unknown","85","","","google-maps","4.6","2026-06-11T11:08:44.013Z","Cloth","Satellite"
"Garment Terminal","","","","
3rd Floor, National Handloom Corporation, Naroda Rd, beside Bhagat Petrol Pump, opposite Satluj Hotel, Naroda, Ahmedabad, Gujarat 382340","Men's clothing store","unknown","50","","","google-maps","4.9","2026-06-12T05:55:15.113Z","Cloth","Naroda"
"Bavin Selection","","09824419738","","
G 22, JP Complex, Police station, Naroda Rd, Avadhpuri Society, Old, Naroda, Ahmedabad, Gujarat 382330","Men's clothing store","unknown","60","","","google-maps","4.3","2026-06-12T05:55:19.484Z","Cloth","Naroda"
"RAJA FASHION","https://rajafashionn.com/?pb=0","09033336721","","
Raja fashion, branch Devi cinema road, opp. JP Complex, near bank of india, Naroda, Ahmedabad, Gujarat 382330","Clothing store","unknown","85","","","google-maps","4.8","2026-06-12T05:55:24.173Z","Cloth","Naroda"
"SHIV FASHION","","08000540177","","
11 NEELSAGAR COMPLEX, Naroda, Ahmedabad, Gujarat 382330","Men's clothing store","unknown","60","","","google-maps","4.4","2026-06-12T05:55:28.253Z","Cloth","Naroda"
"threadX","","07391090213","","
Ground Floor, Shivaay Enclave, Naroda Patiya, opp. Excise Chowk, Patiya, Krishna Nagar, Saijpur Bogha, Ahmedabad, Gujarat 382345","Clothing store","unknown","65","","","google-maps","4.7","2026-06-12T05:55:32.445Z","Cloth","Naroda"
"Pragna Dress Material","","09825358208","","
Krishnanagar, Nava Naroda, Ahmedabad, Gujarat 382345","Clothing store","unknown","65","","","google-maps","5","2026-06-12T05:55:40.428Z","Cloth","Naroda"
"Pushti Fashion","","09825914673","","
Satva Sharda Complex, FF6, Kailasdham Society, Naroda, Ahmedabad, Gujarat 382330","Men's clothing store","unknown","65","","","google-maps","4.7","2026-06-12T05:55:44.550Z","Cloth","Naroda"
"AARTI SELECTION","","07778050004","","
Shop No.8 to 15, Dev Complex, Opp.Old Police Station, opp. JP Complex, Naroda, Ahmedabad, Gujarat 382330","Clothing store","unknown","65","","","google-maps","4.5","2026-06-12T05:55:49.618Z","Cloth","Naroda"
"Looks The admire lady","","09879208959","","
18,19,Rajmandir Complex Bethak, Naroda Rd, Naroda, Ahmedabad, Gujarat 382330","Women's clothing store","unknown","60","","","google-maps","4.1","2026-06-12T05:55:55.402Z","Cloth","Naroda"
"Pantaloons (Sahitya ICON, Naroda, Ahmedabad)","https://www.pantaloons.com","08291991749","","
Ground-1st Floor, Satva Icon, No. 39/2, Service Rd, Vastral, Ahmedabad, Gujarat 382418","Clothing store","unknown","80","","","google-maps","4","2026-06-12T05:56:02.728Z","Cloth","Vastral"
"Aarvi Fashion","","09662852768","","
129, First Floor, Naroda Business Point, Haridarshan Cross Rd, opposite Swaminarayan Park, Vasant Vihar 2, Nava Naroda, Ahmedabad, Gujarat 382330","Designer Clothing Store","unknown","65","","","google-maps","4.9","2026-06-12T05:56:07.006Z","Cloth","Naroda"
"Blue Buddha","https://bluebuddha.co.in","07435993300","","
Shop no 42, 43 44, sahitya icon, Naroda - Dehgam Rd, nr. Capital Commercial, near Naroda, Vasant Vihar 2, Nava Naroda, Ahmedabad, Gujarat 382330","Men's clothing store","unknown","85","","","google-maps","4.8","2026-06-12T05:56:11.042Z","Cloth","Naroda"
"Gurukrupa Fashion Point","","09725606352","","
Bharwad Vas, Kumarshala Road, opp. Tulshivan Society, Kapdi Vas, Naroda, Ahmedabad, Gujarat 382330","Designer Clothing Store","unknown","65","","","google-maps","4.7","2026-06-12T05:56:15.026Z","Cloth","Naroda"
"GC CLOTHING","https://www.gcclothing.in","08320884933","","
Shop no B-14 Valkeshvar flora, near Shree Narayana Higher Secondary School, opposite Vachnamrut Residency, Nava Naroda, Ahmedabad, Gujarat 382330","Men's clothing store","unknown","75","","","google-maps","3.8","2026-06-12T05:56:19.185Z","Cloth","Naroda"
"Mohini Fashion","","09737690503","","
Ground Floor Shop No 15, JP Complex, near Krishnanagar Police Station, Avadhpuri Society, Old, Naroda, Ahmedabad, Gujarat 382330","Women's clothing store","unknown","65","","","google-maps","5","2026-06-12T05:56:23.258Z","Cloth","Naroda"
"The Gharana Restaurant","https://www.google.com/searchviewer/42?cvd=clw_eickjeicijigehkif9lx29ipeqonl2cvmtf5otf5ehhumrgbogmi8a0%3d&hl=en-in&gl=in&fo_m=mfohqo559jfvmuozjvpjpl1ymfz3binywbdumfaxtpp5kxh-&utm_source=tactile&gei=up8ravyznykesemp7tik-qq&ei=up8ravyznykesemp7tik-qq&fo_s=oa,soe&opi=79508299&ordertype=1&ebb=1&cs=0&foub=mcpp","09429226473","","
Ananta Square, Naroda SA Sub Post office, A304, opp. 108 office, Vasant Vihar 2, Naroda, Ahmedabad, Gujarat 382330","Restaurant","unknown","80","","","google-maps","4.4","2026-06-12T05:57:18.708Z","Restaurant","Naroda"
"Maa Shree Khodiyar Kathiyawadi Dhaba","https://www.google.com/searchviewer/42?cvd=clw_eickjeicijigehkif9lx29ipeqonl2cvmtfmy3fzbwzydxgaogmi8a0%3d&hl=en-in&gl=in&fo_m=mfohqo559jfvmuozjvpjpl1ymfz3binywbdumfaxtpp5kxh-&utm_source=tactile&gei=w58rarbsjalxsempmpq2sq4&ei=w58rarbsjalxsempmpq2sq4&fo_s=oa,soe&opi=79508299&ebb=1&cs=0&foub=mcpp","09924444423","","
Toll Plaza, KAHANVI CAMPUS, Sardar Patel Ring Rd, nr. Ranasan, Muthia, Naroda, Ahmedabad, Gujarat 382330","Gujarati restaurant","unknown","80","","","google-maps","4.2","2026-06-12T05:57:28.417Z","Restaurant","Naroda"
"Green Rio Restaurant","https://www.instagram.com/green_rio_restaurant?igsh=a2izexdjmgrsmtrs","09173413440","","
Gate No. 5, Gazanand Arcade, Green Rio Restaurant & Banquet 1st Floor, Oppt. GIDC, Naroda, Ahmedabad, Gujarat 382330","Restaurant","unknown","80","","","google-maps","4.2","2026-06-12T05:57:41.892Z","Restaurant","Naroda"
"New capricorn","https://www.google.com/searchviewer/42?cvd=clw_eickjeicijigehkif9lx29ipeqonl2cvmtfoogjodmswdbgbogmi8a0%3d&hl=en-in&gl=in&fo_m=mfohqo559jfvmuozjvpjpl1ymfz3binywbdumfaxtpp5kxh-&utm_source=tactile&gei=1p8rasyvel-csempsebzyay&ei=1p8rasyvel-csempsebzyay&fo_s=oa,soe&opi=79508299&ordertype=1&ebb=1&cs=0&foub=mcpp","","","
101-crystal icon 1, Haridarshan cross road, Kathawada Rd, near shalby hospital, Nava Naroda, Ahmedabad, Gujarat 382330","North Indian restaurant","unknown","65","","","google-maps","4.1","2026-06-12T05:57:46.088Z","Restaurant","Naroda"
"Babadeepsingh Restaurant","https://www.google.com/searchviewer/42?cvd=clw_eickjeicijigehkif9lx29ipeqonl2cvmtfxbxjmzzexorgbogmi8a0%3d&hl=en-in&gl=in&fo_m=mfohqo559jfvmuozjvpjpl1ymfz3binywbdumfaxtpp5kxh-&utm_source=tactile&gei=2p8rao_qit7ksempvavdkq0&ei=2p8rao_qit7ksempvavdkq0&fo_s=oa,soe&opi=79508299&ordertype=1&ebb=1&cs=0&foub=mcpp","09714274274","","
Shop num:-4,5,6, Naroda Business Hub, Naroda - Dehgam Rd, GIDC Naroda, Ahmedabad, Gujarat 382330","Restaurant","unknown","75","","","google-maps","3.7","2026-06-12T05:57:50.486Z","Restaurant","Naroda"
"Beeji - Multi Cuisines Restaurant in Ahmedabad","https://laxmizest.in/beeji-multi-cuisines-restaurant-in-ahmedabad","","","
Showroom 17, Laxmi Sky City, opp. Sardar Party Plot, nr. Dastan Circle, Naroda, Ahmedabad, Gujarat 382330","Restaurant","unknown","70","","","google-maps","4.7","2026-06-12T05:57:59.475Z","Restaurant","Naroda"
"Kitchen Xpress - M-Mart","","08128944392","","
Shop No:2 to 4, Shreenath Heights, Kathawada Rd, Naroda, Ahmedabad, Gujarat 382330","Grocery store","unknown","60","","","google-maps","4.2","2026-06-12T05:58:44.911Z","Grocery Store","Naroda"
"S K MART","","09909250423","","
10-11,Shreejidham shopping center, Sitaram Bapa Chowk, near Swaminarayan Mandir Karmashakti Park, Nava Naroda, Ahmedabad, Gujarat 382345","Grocery store","unknown","60","","","google-maps","4.1","2026-06-12T05:58:49.107Z","Grocery Store","Naroda"
"Vishal Mega Mart","https://stores.vishalmegamart.com/shopping-mart-naroda-ahmedabad-44681/home?utm_source=gbp","07600716739","","
GIDC, Naroda Telephone Exchange Rd, opposite Lineomatic Karkhana, Makarpura, Naroda, Ahmedabad, Gujarat 382330","Hypermarket","unknown","80","","","google-maps","4.2","2026-06-12T05:58:58.366Z","Grocery Store","Naroda"
"SHWEEHA Mini Mart - New Naroda Outlet","https://www.shweeha.com","09427470355","","
Shop No 21, Vrindavan Residency, Haridarshan Cross Rd, opp. Maharshi Sandipani School, Vasant Vihar 2, Nava Naroda, Ahmedabad, Gujarat 382330","Indian grocery store","unknown","75","","","google-maps","","2026-06-12T05:59:02.443Z","Grocery Store","Naroda"
"Kitchen Xpress - Khodiyar Super Market","","08511801802","","
Nagrik Bank, Naroda - Dehgam Rd, opposite Naroda, Naroda Bazar, Surdhara Society, Naroda, Ahmedabad, Gujarat 382330","Supermarket","unknown","55","","","google-maps","3.1","2026-06-12T05:59:10.938Z","Grocery Store","Naroda"
"JAIN CHAWANA MART","","07874205144","","
JAIN CHAWANA MART, near Satva Shreeji, Kapdi Vas, PULLAV SOCIETY, Naroda, Ahmedabad, Gujarat 382330","Indian grocery store","unknown","65","","","google-maps","4.5","2026-06-12T05:59:14.980Z","Grocery Store","Naroda"
"Rooshi General Stores","","09898397009","","
14 Vrajvihar Shoping Centre, Kathawada Rd, near Dolphin Circle, Naroda, Ahmedabad, Gujarat 380038","Grocery store","unknown","60","","","google-maps","4.2","2026-06-12T05:59:19.035Z","Grocery Store","Naroda"
"અર્બુદા સુપર મોલ","","08140138071","","
PARIMAL EXOTICA, Naroda, Ahmedabad, Gujarat 382330","Grocery store","unknown","65","","","google-maps","5","2026-06-12T05:59:22.868Z","Grocery Store","Naroda"
"DMart Naroda","https://www.dmartindia.com","02233400500","","
Vijay Estate 5, Lal Bahadur Shastri Rd, Anupam Colony, Bapunagar, Ahmedabad, Gujarat 382345","Supermarket","unknown","80","","","google-maps","4.3","2026-06-12T05:59:26.709Z","Grocery Store","Bapunagar"
"Ramdev Super Mart","","08849751658","","
122, Swaminarayan Park, Vitthal Plaza, Road, opp. Naroda Business Point, New India Colony, Naroda, Ahmedabad, Gujarat 382330","Supermarket","unknown","65","","","google-maps","4.6","2026-06-12T05:59:30.523Z","Grocery Store","Naroda"
"GREEN BASKET","","07600116649","","
Shop - 1, sukh sahitya heights, opp. Mewada party plot, Krishnanagar, Nava Naroda, Ahmedabad, Gujarat 382330","Grocery store","unknown","65","","","google-maps","4.7","2026-06-12T05:59:42.434Z","Grocery Store","Naroda"
"Mahadev General Store","","06354207056","","
Iti Road, Galaxy Rd, opp. SATKAR STATUS, Naroda, Ahmedabad, Gujarat 382340","General store","unknown","65","","","google-maps","4.9","2026-06-12T05:59:46.225Z","Grocery Store","Naroda"
"The Baadshah Garment & Accessories","","09825853047","","
Virat Nagar Rd, Gokul Park, Vallabha Nagar, Odhav, Ahmedabad, Gujarat 382415","Clothing store","unknown","65","","","google-maps","4.5","2026-06-12T06:00:21.166Z","Cloth","Odhav"
"Jay Madi Clothes","https://business.google.com/create?fp=13772008905540350708&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7cclaimbz%7cu&ppsrc=gmbmi&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7cclaimbz%7cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0","","","
2M8C+6FJ, Unnamed Road, Gokul Nagar, Odhav Industrial Estate, Odhav, Ahmedabad, Gujarat 382415","Clothing store","unknown","70","","","google-maps","4.7","2026-06-12T06:00:25.074Z","Cloth","Odhav"
"Dipak Fashion","","09898363730","","
187, Rajendra Park Rd, opposite R.D School, Rameshwar Park Society, Ramrajya Nagar, Odhav, Ahmedabad, Gujarat 382415","Men's clothing store","unknown","65","","","google-maps","5","2026-06-12T06:00:29.172Z","Cloth","Odhav"
"Shree Ram Selection & Men's Wear","","09898279076","","
173,Rameswar Society,, Rajendra Park Rd, near Gouri Cinema, Ramrajya Nagar, Odhav, Ahmedabad, Gujarat 382415","Men's clothing store","unknown","60","","","google-maps","4.3","2026-06-12T06:00:33.309Z","Cloth","Odhav"
"Maharajeshwar Cloth Store","","09016571550","","
Shop no 1-2, Raghuvilla Avenue, near Navrang School, Indravihar Park Society, Ambika Nagar, Odhav, Ahmedabad, Gujarat 382415","Clothing store","unknown","60","","","google-maps","4.3","2026-06-12T06:00:37.572Z","Cloth","Odhav"
"Fashion World","","08866569400","","
420, Nishit Park, Bhavik Nagar, Adinath Nagar, Odhav, Ahmedabad, Gujarat 382415","Clothing store","unknown","65","","","google-maps","4.6","2026-06-12T06:00:49.852Z","Cloth","Odhav"
"Ashu Fashion Hub","http://www.instagram.com/ashufashion.hub","07698381084","","
shopping center, B/260 Bhavik nagar soc, road, Adinath Nagar, Odhav, Ahmedabad, Gujarat 382415","Clothing store","unknown","85","","","google-maps","5","2026-06-12T06:00:54.465Z","Cloth","Odhav"
"Khushi Fashion","https://www.instagram.com/khushifashion_odhav?igsh=mwzwdtltdtfvzxh2yg%3d%3d&utm_source=qr","08511797379","","
Shop No:- 414 4th Floor, Shreem Maxima, nr. National Handloom, Odhav, Ahmedabad, Gujarat 382415","Clothing store","unknown","85","","","google-maps","5","2026-06-12T06:00:58.276Z","Cloth","Odhav"
"Sarveshwar unique fashion","","09714266045","","
23, rajesvari complex, Chhotalal Cross Rd, near Maharaj agrasen school, Vallabha Nagar, Odhav, Ahmedabad, Gujarat 382415","Women's clothing store","unknown","65","","","google-maps","5","2026-06-12T06:01:02.324Z","Cloth","Odhav"
"Ramadhani kapda house","https://business.google.com/create?fp=11172848292634544652&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7cclaimbz%7cu&ppsrc=gmbmi&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7cclaimbz%7cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0","","","
Karnavati Bungalows, Takshashila School Rd, Odhav, Ahmedabad, Gujarat 382415","Clothing store","unknown","70","","","google-maps","5","2026-06-12T06:01:06.432Z","Cloth","Odhav"
"Shree ram fashion house","","08511242448","","
Delux Pay & Use, vimal park soc, Rajendra Park Rd, Hastinapur Society, Bal Krishna Nagar, Odhav, Ahmedabad, Gujarat 382415","Clothing store","unknown","65","","","google-maps","5","2026-06-12T06:01:10.900Z","Cloth","Odhav"
"Kumavat Selection","","09725401816","","
G I D C Industrial Area, Odhav, Ahmedabad, Gujarat 382415","Clothing store","unknown","55","","","google-maps","3.6","2026-06-12T06:01:14.798Z","Cloth","Odhav"
"Deepmala Selection","","07574011950","","
50, Bhavik Nagar, Adinath Nagar, Odhav, Ahmedabad, Gujarat 382415","Clothing store","unknown","65","","","google-maps","4.8","2026-06-12T06:01:22.698Z","Cloth","Odhav"
"Dinner Post Restaurant","https://www.instagram.com/dinner_post_ahmedabad?igsh=djl3yxdzmmlvb3iw&utm_source=qr","09725954440","","
Siddhi Vinayak Arcade, Dinner Post Restaurant, Ahmedabad - Zalod Road, Ring Road Circle, Odhav, Ahmedabad, Gujarat 382415","North Indian restaurant","unknown","85","","","google-maps","4.6","2026-06-12T06:02:06.191Z","Restaurant","Odhav"
"Avadh Thal","https://www.google.com/searchviewer/42?cvd=clw_eickjeicijigehkif9lx29ipeqonl2cvmtf4z2rmzjewabgbogmi8a0%3d&hl=en-in&gl=in&fo_m=mfohqo559jfvmuozjvpjpl1ymfz3binywbdumfaxtpp5kxh-&utm_source=tactile&gei=46arau3xgmynsempy-ii4qe&ei=46arau3xgmynsempy-ii4qe&fo_s=oa,soe&opi=79508299&ordertype=1&ebb=1&cs=0&foub=mcpp","09016382130","","
Shop No11 Ground Floor, Madhav Orchid, Sardar Patel Ring Rd, near gokul nagar, Gokul Nagar, Adinath Nagar, Odhav, Ahmedabad, Gujarat 382415","Restaurant","unknown","85","","","google-maps","4.8","2026-06-12T06:02:16.375Z","Restaurant","Odhav"
"South Masala Restaurant - (the essence of south)","https://www.google.com/searchviewer/42?cvd=clw_eickjeicijigehkif9lx29ipeqonl2cvmtf3dgprndl3nhgbogmi8a0%3d&hl=en-in&gl=in&fo_m=mfohqo559jfvmuozjvpjpl1ymfz3binywbdumfaxtpp5kxh-&utm_source=tactile&gei=6karatf4jp2bsempw_uv0a0&ei=6karatf4jp2bsempw_uv0a0&fo_s=oa,soe&opi=79508299&ordertype=1&ebb=1&cs=0&foub=mcpp","07990727888","","
Ground floor, Shop No, Madhav Orchid, 6 & 7, Sardar Patel Ring Rd, Gokul Nagar, Adinath Nagar, Odhav, Ahmedabad, Gujarat 382415","South Indian restaurant","unknown","85","","","google-maps","4.7","2026-06-12T06:02:20.805Z","Restaurant","Odhav"
"KRISHNA KATHIYAWADI HOTEL - ODHAV","https://krishnakathiyawadi.com","09825310221","","
Girivar glean mall, Odhav Rd, Odhav, Ahmedabad, Gujarat 382420","Restaurant","unknown","85","","","google-maps","4.5","2026-06-12T06:02:24.782Z","Restaurant","Odhav"
"The Grand Thakar (Odhav)","http://www.hotelthakar.com","08000005870","","
MADHAV ORCHID ODHAV, Sardar Patel Ring Rd, Gokul Nagar, Adinath Nagar, Odhav, Ahmedabad, Gujarat 382415","Gujarati restaurant","unknown","80","","","google-maps","4.4","2026-06-12T06:02:29.267Z","Restaurant","Odhav"
"Jassi De Parathe","http://www.jassideparathe.com","09898607129","","
Shreeya Residency, First Floor, 9, Sardar Patel Ring Rd, Gokul Nagar, Odhav, Ahmedabad, Gujarat 382415","Punjabi restaurant","unknown","80","","","google-maps","4.2","2026-06-12T06:02:33.449Z","Restaurant","Odhav"
